# ----------------------------------------
# www.visit-trzic.com - GA4
# Vstopne strani-01_visit_trzic_mesecni_pregled.csv
# 20260525-20260724
# ----------------------------------------

Year,Month,Landing page,Sessions,Engaged sessions,Active users,New users,Engagement rate,Key events,Average engagement time per session
2026,07,/sl/prenocisca,9,5,5,3,0.5555555555555556,0,109
2026,07,/sl/prenocisca/planinski-dom-na-zelenici,9,5,7,6,0.5555555555555556,0,16.444444444444443
2026,07,/sl/prireditve,9,9,9,5,1,0,74
2026,05,/en,8,4,6,6,0.5,0,55.75
2026,05,/it/attrazioni/attrazioni-naturali/la-gola-di-dovzan,8,3,3,1,0.375,0,11.75
2026,05,/sl/kulinarika/picerija-pod-gradom,8,7,7,7,0.875,0,21.625
2026,05,/sl/poti/pejmo-v-planine/trziska-planinska-pot,8,4,5,4,0.5,0,0
2026,06,/de/info/das-land-um-trzic,8,0,8,8,0,0,0
2026,06,/de/kulinarik/gasthof-karavla-297,8,8,8,8,1,0,7.75
2026,06,/en/cuisine/places-to-eat,8,3,2,1,0.375,0,37.375
2026,06,/en/experiences/all-experiences/myconoctis-the-magical-world-of-mushrooms,8,4,8,8,0.5,0,0
2026,06,/en/paths/cycling-routes,8,6,8,8,0.75,0,4.875
2026,06,/en/paths/ski-touring-routes,8,1,8,8,0.125,0,0
2026,06,/it/gastronomia/malga-sul-dolga-njiva,8,4,6,6,0.5,0,1.625
