tank,cas,meritev,globina_cm,vrednost,enota
Trzic-Tank1,2026-06-10T10:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-10T11:00:00,padavine,,1.0,mm
Trzic-Tank1,2026-06-10T12:00:00,padavine,,2.8,mm
Trzic-Tank1,2026-06-10T13:00:00,padavine,,17.2,mm
Trzic-Tank1,2026-06-10T14:00:00,padavine,,17.8,mm
Trzic-Tank1,2026-06-10T15:00:00,padavine,,18.0,mm
Trzic-Tank1,2026-06-10T16:00:00,padavine,,17.6,mm
Trzic-Tank1,2026-06-10T17:00:00,padavine,,17.0,mm
Trzic-Tank1,2026-06-10T18:00:00,padavine,,17.4,mm
Trzic-Tank1,2026-06-10T19:00:00,padavine,,16.6,mm
Trzic-Tank1,2026-06-10T20:00:00,padavine,,15.4,mm
Trzic-Tank1,2026-06-10T21:00:00,padavine,,20.0,mm
Trzic-Tank1,2026-06-10T22:00:00,padavine,,36.4,mm
Trzic-Tank1,2026-06-10T23:00:00,padavine,,46.2,mm
Trzic-Tank1,2026-06-11T00:00:00,padavine,,46.2,mm
Trzic-Tank1,2026-06-11T01:00:00,padavine,,45.2,mm
Trzic-Tank1,2026-06-11T02:00:00,padavine,,45.2,mm
Trzic-Tank1,2026-06-11T03:00:00,padavine,,45.2,mm
Trzic-Tank1,2026-06-11T04:00:00,padavine,,45.2,mm
Trzic-Tank1,2026-06-11T05:00:00,padavine,,36.8,mm
Trzic-Tank1,2026-06-11T06:00:00,padavine,,34.6,mm
Trzic-Tank1,2026-06-11T07:00:00,padavine,,32.4,mm
Trzic-Tank1,2026-06-11T08:00:00,padavine,,30.8,mm
Trzic-Tank1,2026-06-11T09:00:00,padavine,,28.2,mm
Trzic-Tank1,2026-06-11T10:00:00,padavine,,26.6,mm
Trzic-Tank1,2026-06-11T11:00:00,padavine,,25.8,mm
Trzic-Tank1,2026-06-11T12:00:00,padavine,,25.2,mm
Trzic-Tank1,2026-06-11T13:00:00,padavine,,23.0,mm
Trzic-Tank1,2026-06-11T14:00:00,padavine,,21.6,mm
Trzic-Tank1,2026-06-11T15:00:00,padavine,,22.2,mm
Trzic-Tank1,2026-06-11T16:00:00,padavine,,22.4,mm
Trzic-Tank1,2026-06-11T17:00:00,padavine,,21.4,mm
Trzic-Tank1,2026-06-11T18:00:00,padavine,,23.2,mm
Trzic-Tank1,2026-06-11T19:00:00,padavine,,23.6,mm
Trzic-Tank1,2026-06-11T20:00:00,padavine,,24.8,mm
Trzic-Tank1,2026-06-11T21:00:00,padavine,,24.4,mm
Trzic-Tank1,2026-06-11T22:00:00,padavine,,24.0,mm
Trzic-Tank1,2026-06-11T23:00:00,padavine,,23.6,mm
Trzic-Tank1,2026-06-12T00:00:00,padavine,,23.6,mm
Trzic-Tank1,2026-06-12T01:00:00,padavine,,24.6,mm
Trzic-Tank1,2026-06-12T02:00:00,padavine,,24.6,mm
Trzic-Tank1,2026-06-12T03:00:00,padavine,,24.6,mm
Trzic-Tank1,2026-06-12T04:00:00,padavine,,24.6,mm
Trzic-Tank1,2026-06-12T05:00:00,padavine,,28.2,mm
Trzic-Tank1,2026-06-12T06:00:00,padavine,,26.2,mm
Trzic-Tank1,2026-06-12T07:00:00,padavine,,27.0,mm
Trzic-Tank1,2026-06-12T08:00:00,padavine,,27.6,mm
Trzic-Tank1,2026-06-12T09:00:00,padavine,,27.2,mm
Trzic-Tank1,2026-06-12T10:00:00,padavine,,26.0,mm
Trzic-Tank1,2026-06-12T11:00:00,padavine,,25.4,mm
Trzic-Tank1,2026-06-12T12:00:00,padavine,,23.4,mm
Trzic-Tank1,2026-06-12T13:00:00,padavine,,21.6,mm
Trzic-Tank1,2026-06-12T14:00:00,padavine,,19.2,mm
Trzic-Tank1,2026-06-12T15:00:00,padavine,,17.0,mm
Trzic-Tank1,2026-06-12T16:00:00,padavine,,15.4,mm
Trzic-Tank1,2026-06-12T17:00:00,padavine,,13.6,mm
Trzic-Tank1,2026-06-12T18:00:00,padavine,,13.2,mm
Trzic-Tank1,2026-06-12T19:00:00,padavine,,9.8,mm
Trzic-Tank1,2026-06-12T20:00:00,padavine,,9.0,mm
Trzic-Tank1,2026-06-12T21:00:00,padavine,,8.4,mm
Trzic-Tank1,2026-06-12T22:00:00,padavine,,5.8,mm
Trzic-Tank1,2026-06-12T23:00:00,padavine,,4.6,mm
Trzic-Tank1,2026-06-13T00:00:00,padavine,,4.6,mm
Trzic-Tank1,2026-06-13T01:00:00,padavine,,2.4,mm
Trzic-Tank1,2026-06-13T02:00:00,padavine,,2.4,mm
